term,score
company_profile_missing,7.586401053049922
has_company_logo_0,7.123984238848882
link,4.566114517589346
earn,4.076690075878114
entry,3.3420524158681513
aptitude,3.273480316497548
000,3.2348773377546323
location_us_tx_houston,2.9886853218380587
industry_accounting,2.986402646187896
money,2.960976936131038
type,2.6926321261832187
function_administrative,2.6316361643305743
assistant,2.6173038512825957
contract,2.522803005464117
gas,2.5194333057503577
cash,2.4440148344909427
oil,2.4046576338061745
efficient,2.393572549075895
required_education_high_school_or_equivalent,2.3364914048519374
industry_oil_energy,2.326717180623241
